Chain	Z	rmsd	lali	nres	%id
1wd6-A	4.3	4.3	79	97	9
3rrk-A	4.2	14.3	118	301	8
3nn2-B	4.2	4.4	98	239	5
3hds-A	4.2	3.6	82	116	6
2ns1-B	4.2	4.9	75	113	5
3n5b-A	4.2	5.3	74	112	0
3lf0-B	4.2	5.4	77	112	3
4rww-A	4.2	4.7	76	113	9
5b0a-B	4.2	3.3	69	95	6
2hzm-F	4.2	3.3	87	238	7
2wve-B	4.2	10.1	92	133	13
2wvb-A	4.2	11.1	84	130	12
1jjh-C	4.2	3.3	66	73	9
3n5f-B	4.2	16	148	406	9
2fiu-A	4.2	3.9	75	96	8
2ijr-A	4.1	3.3	72	281	1
2xbp-A	4.1	5.4	76	113	1
2v50-B	4.1	7.3	118	1030	8
2hh3-A	4.1	3.1	59	71	5
4oi6-A	4.1	3.9	71	81	10
5amq-A	4.1	8.3	130	1666	5
4gf3-A	4.1	3.2	83	123	11
3opk-C	4	4.8	83	118	5
2xzm-J	4	3.5	76	105	12
5ixu-A	4	3.4	74	102	8
4oi3-B	4	3.9	69	81	9
2aca-A	4	2.7	76	174	8
1y3k-A	4	2.5	65	77	9
2j9c-A	3.9	4.9	78	117	1
2anr-A	3.9	3.6	67	155	7
4oz5-A	3.9	5.9	85	155	11
1q53-B	3.9	4.1	84	112	7
1ec6-A	3.9	3.1	60	87	5
3bkf-A	3.9	3.4	57	66	5
1k3s-A	3.9	3.8	78	109	8
3o8w-A	3.8	4.5	73	104	0
4wd9-A	3.8	9	107	965	8
2wvd-B	3.8	9.7	102	135	13
2wvd-D	3.8	10.6	99	138	11
2wvc-A	3.8	11.8	82	132	11
2dny-A	3.8	5.7	94	119	4
2rrn-A	3.7	8.4	79	92	8
1lxj-A	3.7	3.9	61	104	10
3ih6-C	3.7	3.5	81	181	7
2rd5-D	3.7	5	78	126	8
3ncr-C	3.7	5.4	74	116	1
2gv1-A	3.7	3.3	71	92	4
3tvz-A	3.7	4.7	86	147	8
2jbm-A	3.7	2.9	65	289	3
3bku-A	3.7	3.9	60	68	7
2wvd-C	3.7	12.4	87	133	13
1ry9-A	3.7	2.9	77	133	8
1yz6-A	3.6	12.8	113	261	12
1fno-A	3.6	17.9	122	408	8
1cc8-A	3.6	2.9	61	72	3
1tuw-A	3.6	4.3	76	106	5
2a10-C	3.6	3.2	74	107	5
4pwu-B	3.6	3.6	70	77	4
4pwu-C	3.5	3.3	66	78	5
2p6t-A	3.5	4.9	104	157	5
1gxu-A	3.5	3.2	64	88	8
3mcs-B	3.5	4.5	103	218	7
3dgv-B	3.5	7	96	401	9
2p2r-A	3.5	2.9	62	73	3
2nyd-B	3.5	12.8	104	348	8
3lnl-B	3.5	15.1	102	349	3
2pqu-A	3.5	2.9	59	72	3
3jtp-B	3.5	3.5	74	93	5
2ko1-A	3.5	3.4	70	88	10
1q5v-C	3.5	9.5	79	115	5
1q5v-B	3.5	11.9	81	116	6
1yb3-A	3.5	2.8	74	166	5
2dt9-B	3.4	3.8	89	155	6
3lo3-A	3.4	3.6	68	94	3
3bku-D	3.4	3.9	57	66	9
2wvf-B	3.4	10.5	94	139	13
2p92-A	3.4	4.6	75	96	3
1q5v-A	3.4	9.3	80	115	5
1phz-A	3.3	6.1	95	403	9
2acy-A	3.3	3.7	71	98	6
4fvc-F	3.3	4.6	82	154	9
3dca-A	3.3	3.8	76	130	4
2wvb-B	3.3	10.1	94	139	12
1rki-B	3.3	3.3	70	97	9
2wve-A	3.3	13.2	87	131	11
2wvd-A	3.3	13	77	133	13
2o1p-A	3.3	7.8	128	523	2
1lw2-A	3.3	8.4	119	519	8
2bho-A	3.3	3.4	78	110	4
3jto-A	3.2	3.5	74	94	4
3bbn-F	3.2	4.3	73	107	4
1ftr-A	3.2	6.4	88	296	5
3jtp-A	3.2	3.2	66	92	6
3fk4-B	3.2	14.9	107	391	6
2wvc-B	3.2	10.5	98	138	14
1vr7-B	3.2	4.2	75	117	12
4x4q-A	3.2	7.2	102	442	8
4x4o-C	3.2	8.7	105	442	7
4x4o-A	3.2	6.2	102	437	7
2k3i-A	3.1	9.4	81	109	12
2g13-A	3.1	3	64	95	3
2ec2-E	3.1	4.9	75	129	7
4x4s-A	3.1	5.4	113	443	11
2pso-B	3.1	5	89	198	11
1ttw-A	3.1	4.1	86	118	7
1f9y-A	3	4.3	89	158	3
2caj-B	3	5.2	77	139	1
1n32-F	3	7.3	78	101	10
1uta-A	3	3.1	61	77	5
4eyt-A	3	4.6	76	97	4
1ofe-A	3	16.3	132	1486	5
1mu2-A	2.9	16.1	136	538	5
4n8n-A	2.9	3.7	68	102	4
3hhl-A	2.9	4	78	135	3
1aw0-A	2.9	3.4	60	72	3
3bh6-B	2.8	8.8	109	314	12
1lq9-A	2.8	3.4	74	112	5
2efp-A	2.8	4.3	98	152	11
1no8-A	2.8	3.6	65	78	11
1n33-J	2.8	3.7	68	98	6
4x4u-E	2.7	16.5	119	437	6
4x4n-C	2.7	17	121	436	10
4x4n-F	2.7	15.4	109	437	6
4x4t-F	2.7	15.5	110	437	9
5ueb-A	2.7	8.4	91	142	8
2jhe-A	2.7	8.4	86	189	10
4eyt-D	2.7	5.2	70	99	3
2hyi-B	2.7	3.6	63	91	10
3nwg-A	2.7	3.9	80	180	10
1u0s-A	2.7	3.3	64	86	6
1ab8-A	2.7	5.3	85	177	6
2dy9-B	2.7	4.1	80	156	11
2oau-A	2.7	14	111	254	7
3js9-A	2.7	3.6	72	148	8
4x4p-E	2.6	17.8	116	428	5
4x4q-C	2.6	16.4	116	437	8
4x4v-A	2.6	17.3	111	443	6
4x4t-C	2.6	16.9	120	436	9
3krm-A	2.6	6.8	74	158	1
2diu-A	2.6	6.6	72	96	11
4x4t-E	2.5	17	115	437	9
1k44-A	2.5	4.1	79	135	11
4x4p-G	2.5	15.4	109	428	6
4x4u-C	2.5	17.4	113	436	8
4x4t-A	2.5	17.7	110	437	8
1v5i-B	2.5	3.4	63	76	5
1wwh-A	2.5	3.1	54	81	4
3bxv-A	2.5	9.4	110	308	12
3j9v-b	2.5	15.1	104	312	3
3bps-P	2.5	5.7	66	92	3
2ek1-A	2.5	3.8	69	79	10
4zoq-E	2.5	2.4	51	61	10
2cjb-B	2.5	16.8	100	496	3
1ekr-A	2.5	12.2	79	143	8
1why-A	2.5	5.4	66	97	3
1fvs-A	2.5	2.9	57	72	9
3aqo-B	2.5	3.2	65	220	2
1f6t-B	2.4	3.9	78	151	15
2qif-A	2.4	3	52	69	10
2i0x-A	2.4	3.5	66	84	9
1ofe-B	2.4	17.1	138	1486	4
3jtn-B	2.4	3.2	65	90	3
2qnd-B	2.4	9.4	81	143	6
2qlw-A	2.4	3.7	64	108	8
2g5i-B	2.4	4.6	108	410	7
1nue-A	2.3	4.2	82	151	7
1bhn-A	2.3	4.3	83	151	6
4p6q-A	2.3	18.5	98	286	8
2mtg-A	2.3	4.2	68	116	4
2yww-B	2.3	9.3	70	142	6
3wx4-A	2.3	3.9	72	98	13
1cvj-F	2.3	4.5	68	131	3
5d6a-A	2.3	11.6	93	548	4
1d9a-A	2.3	4	68	85	7
1jxv-A	2.2	4.6	84	149	8
3cgi-D	2.2	3.8	65	117	8
2dvk-A	2.2	3.1	75	166	5
1oy9-A	2.2	5.6	149	1006	5
1psd-A	2.2	5.4	97	405	11
2ohd-F	2.2	7.6	74	144	4
2qfj-B	2.2	11.6	95	194	12
1qap-A	2.2	4.8	76	289	8
3b54-B	2.1	3.9	77	145	8
4yn3-B	2.1	3.6	56	65	5
2be9-B	2.1	9.8	67	148	3
1cjk-A	2.1	5	87	189	3
1j5e-J	2.1	4	69	98	7
2wa8-A	2.1	6.5	66	88	5
1t0t-X	2.1	5.6	98	243	7
1wc4-A	2	5.2	86	199	8
2rjz-B	2	6.8	86	130	10
2ide-K	2	12.6	78	148	1
